event_id,well_id,depth_m,formation,event_type,severity,event_description,duration_hours,operational_impact
E0143,W032,515,Claystone,Casing Issue,Low,Restricted casing passage through plastic Claystone at 515 m; hole conditioned and casing rerun.,6.8,Minor non-productive time; operations resumed after routine parameter adjustment.
E0144,W032,642,Claystone,Stuck Pipe,Medium,Drill string became stuck at 642 m within the Claystone section; overpull observed and jarring / working of pipe required.,16.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0145,W032,467,Claystone,Casing Issue,Medium,Casing integrity concern noted opposite Claystone at 467 m; pressure test anomaly investigated before proceeding.,11.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0146,W032,1935,Shale,Stuck Pipe,High,Drill string became stuck at 1935 m within the Shale section; overpull observed and jarring / working of pipe required.,33.7,Significant non-productive time; remedial operations and additional materials required.
E0147,W032,2222,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 2222 m; mud weight trimmed and losses monitored.,7.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0148,W032,1118,Shale,Stuck Pipe,Critical,Differential/mechanical sticking of the string at 1118 m in Shale; hole cleaning improved and pipe recovered.,59.5,Major non-productive time; section objectives affected and specialist intervention required.
E0149,W033,732,Claystone,Kick,Medium,"Influx indication at 732 m in Claystone; pit gain and flow observed, well shut in and killed using the driller's method.",9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0150,W033,2847,Sandstone,Wellbore Instability,Low,Borehole collapse tendency in Sandstone at 2847 m; repeated back-reaming needed to maintain hole condition.,4.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0151,W033,3553,Limestone,Kick,Medium,"Influx indication at 3553 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",7.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0152,W033,3795,Limestone,Stuck Pipe,Low,Differential/mechanical sticking of the string at 3795 m in Limestone; hole cleaning improved and pipe recovered.,5.1,Minor non-productive time; operations resumed after routine parameter adjustment.
E0153,W033,2418,Sandstone,Cementing Issue,Medium,Cement slurry losses while cementing across Sandstone at 2418 m; top of cement lower than designed.,8.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0154,W033,1560,Shale,Stuck Pipe,High,"Pack-off and stuck pipe in Shale at 1560 m; rotation lost, string freed after jarring and lubricant spotting.",34.8,Significant non-productive time; remedial operations and additional materials required.
E0155,W033,1253,Shale,Wellbore Instability,Medium,Sloughing Shale at 1253 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,9.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0156,W034,1706,Shale,Stuck Pipe,Critical,Differential/mechanical sticking of the string at 1706 m in Shale; hole cleaning improved and pipe recovered.,48.9,Major non-productive time; section objectives affected and specialist intervention required.
E0157,W034,2304,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2304 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,13.8,Significant non-productive time; remedial operations and additional materials required.
E0158,W035,2456,Sandstone,Casing Issue,Low,Restricted casing passage through plastic Sandstone at 2456 m; hole conditioned and casing rerun.,6.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0159,W035,590,Shale,Casing Issue,Low,Casing integrity concern noted opposite Shale at 590 m; pressure test anomaly investigated before proceeding.,7.4,Minor non-productive time; operations resumed after routine parameter adjustment.
E0160,W035,1292,Shale,Wellbore Instability,Critical,Hole instability and cavings from the Shale interval at 1292 m; tight hole on connections and reaming required.,42.7,Major non-productive time; section objectives affected and specialist intervention required.
E0161,W035,2975,Sandstone,Stuck Pipe,Medium,Drill string became stuck at 2975 m within the Sandstone section; overpull observed and jarring / working of pipe required.,13.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0162,W036,905,Shale,Stuck Pipe,High,Drill string became stuck at 905 m within the Shale section; overpull observed and jarring / working of pipe required.,27.3,Significant non-productive time; remedial operations and additional materials required.
E0163,W036,2364,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 2364 m; drilling paused and a lost-circulation-material pill spotted.,16.4,Significant non-productive time; remedial operations and additional materials required.
E0164,W036,423,Shale,Stuck Pipe,High,Drill string became stuck at 423 m within the Shale section; overpull observed and jarring / working of pipe required.,34.7,Significant non-productive time; remedial operations and additional materials required.
E0165,W036,773,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 773 m in Shale; hole cleaning improved and pipe recovered.,33.9,Significant non-productive time; remedial operations and additional materials required.
E0166,W036,1315,Shale,Stuck Pipe,Critical,Differential/mechanical sticking of the string at 1315 m in Shale; hole cleaning improved and pipe recovered.,54.9,Major non-productive time; section objectives affected and specialist intervention required.
E0167,W036,833,Shale,Wellbore Instability,High,Hole instability and cavings from the Shale interval at 833 m; tight hole on connections and reaming required.,26.1,Significant non-productive time; remedial operations and additional materials required.
E0168,W038,2758,Sandstone,Mud Loss,Critical,Loss of circulation into porous Sandstone at 2758 m; drilling paused and a lost-circulation-material pill spotted.,24,Major non-productive time; section objectives affected and specialist intervention required.
E0169,W038,222,Claystone,Wellbore Instability,Medium,Hole instability and cavings from the Claystone interval at 222 m; tight hole on connections and reaming required.,8.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0170,W039,1204,Shale,Stuck Pipe,High,Drill string became stuck at 1204 m within the Shale section; overpull observed and jarring / working of pipe required.,25.3,Significant non-productive time; remedial operations and additional materials required.
E0171,W039,2850,Sandstone,Casing Issue,Low,Restricted casing passage through plastic Sandstone at 2850 m; hole conditioned and casing rerun.,7.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0172,W039,1955,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 1955 m; mud weight trimmed and losses monitored.,6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0173,W039,2367,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2367 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,14.8,Significant non-productive time; remedial operations and additional materials required.
E0174,W039,528,Claystone,Cementing Issue,Low,Incomplete annular cement coverage near 528 m in Claystone; remedial cementing operation carried out.,4.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0175,W039,1817,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 1817 m; mud weight trimmed and losses monitored.,5.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0176,W040,1411,Shale,Cementing Issue,Low,Cement slurry losses while cementing across Shale at 1411 m; top of cement lower than designed.,4.7,Minor non-productive time; operations resumed after routine parameter adjustment.
E0177,W040,2156,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 2156 m; mud weight trimmed and losses monitored.,6.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0178,W040,2113,Sandstone,Cementing Issue,Low,Poor cement bond opposite Sandstone at 2113 m; channelling indicated on the bond log and a remedial squeeze planned.,4.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0179,W041,2781,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 2781 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,11,Significant non-productive time; remedial operations and additional materials required.
E0180,W043,1469,Shale,Stuck Pipe,Medium,Differential/mechanical sticking of the string at 1469 m in Shale; hole cleaning improved and pipe recovered.,14.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0181,W043,789,Claystone,Wellbore Instability,Low,Sloughing Claystone at 789 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,5.6,Minor non-productive time; operations resumed after routine parameter adjustment.
E0182,W043,1150,Shale,Wellbore Instability,Medium,Sloughing Shale at 1150 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,11.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0183,W044,2033,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 2033 m; drilling paused and a lost-circulation-material pill spotted.,14.8,Significant non-productive time; remedial operations and additional materials required.
E0184,W044,1562,Shale,Wellbore Instability,Low,Borehole collapse tendency in Shale at 1562 m; repeated back-reaming needed to maintain hole condition.,3.8,Minor non-productive time; operations resumed after routine parameter adjustment.
E0185,W044,1959,Sandstone,Mud Loss,Critical,Partial loss of drilling fluid recorded at 1959 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,22.5,Major non-productive time; section objectives affected and specialist intervention required.
E0186,W044,1089,Shale,Casing Issue,Medium,Restricted casing passage through plastic Shale at 1089 m; hole conditioned and casing rerun.,16.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0187,W044,796,Shale,Wellbore Instability,High,Sloughing Shale at 796 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,22.3,Significant non-productive time; remedial operations and additional materials required.
E0188,W044,1355,Shale,Stuck Pipe,Medium,"Pack-off and stuck pipe in Shale at 1355 m; rotation lost, string freed after jarring and lubricant spotting.",10.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0189,W044,1612,Shale,Wellbore Instability,Low,Sloughing Shale at 1612 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,4.5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0190,W044,910,Shale,Stuck Pipe,High,Drill string became stuck at 910 m within the Shale section; overpull observed and jarring / working of pipe required.,32.6,Significant non-productive time; remedial operations and additional materials required.
E0191,W045,1102,Sandstone,Casing Issue,Medium,Restricted casing passage through plastic Sandstone at 1102 m; hole conditioned and casing rerun.,14.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0192,W045,725,Sandstone,Cementing Issue,High,Poor cement bond opposite Sandstone at 725 m; channelling indicated on the bond log and a remedial squeeze planned.,16.5,Significant non-productive time; remedial operations and additional materials required.
E0193,W045,2106,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 2106 m in Shale; hole cleaning improved and pipe recovered.,27.6,Significant non-productive time; remedial operations and additional materials required.
E0194,W045,2688,Limestone,Wellbore Instability,Medium,Hole instability and cavings from the Limestone interval at 2688 m; tight hole on connections and reaming required.,10.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0195,W045,2600,Limestone,Kick,High,"Influx indication at 2600 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",16.8,Significant non-productive time; remedial operations and additional materials required.
E0196,W046,583,Sandstone,Mud Loss,Low,Partial loss of drilling fluid recorded at 583 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,2.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0197,W046,2677,Limestone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Limestone at 2677 m; mud weight trimmed and losses monitored.,5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0198,W046,772,Sandstone,Mud Loss,High,Partial loss of drilling fluid recorded at 772 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,11.8,Significant non-productive time; remedial operations and additional materials required.
E0199,W046,1027,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 1027 m; drilling paused and a lost-circulation-material pill spotted.,12.9,Significant non-productive time; remedial operations and additional materials required.
E0200,W048,755,Sandstone,Mud Loss,Low,Seepage-to-partial mud losses observed while drilling Sandstone at 755 m; mud weight trimmed and losses monitored.,3.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0201,W048,3528,Limestone,Mud Loss,Medium,Partial loss of drilling fluid recorded at 3528 m in the Limestone interval; returns reduced and LCM pumped to regain circulation.,5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0202,W048,3334,Limestone,Kick,Medium,"Influx indication at 3334 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",8.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0203,W048,1962,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 1962 m; mud weight trimmed and losses monitored.,6.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0204,W049,1682,Sandstone,Wellbore Instability,Low,Hole instability and cavings from the Sandstone interval at 1682 m; tight hole on connections and reaming required.,4,Minor non-productive time; operations resumed after routine parameter adjustment.
E0205,W049,2415,Shale,Stuck Pipe,Medium,"Pack-off and stuck pipe in Shale at 2415 m; rotation lost, string freed after jarring and lubricant spotting.",15.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0206,W049,1831,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 1831 m; drilling paused and a lost-circulation-material pill spotted.,14.7,Significant non-productive time; remedial operations and additional materials required.
E0207,W049,1903,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 1903 m; mud weight trimmed and losses monitored.,11.8,Significant non-productive time; remedial operations and additional materials required.
E0208,W050,138,Claystone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Claystone at 138 m; mud weight trimmed and losses monitored.,5.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0209,W050,1840,Shale,Stuck Pipe,High,"Pack-off and stuck pipe in Shale at 1840 m; rotation lost, string freed after jarring and lubricant spotting.",31.3,Significant non-productive time; remedial operations and additional materials required.
E0210,W050,3161,Limestone,Wellbore Instability,Medium,Borehole collapse tendency in Limestone at 3161 m; repeated back-reaming needed to maintain hole condition.,10,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0211,W050,1557,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 1557 m; mud weight trimmed and losses monitored.,15.9,Significant non-productive time; remedial operations and additional materials required.
E0212,W050,2481,Limestone,Kick,Critical,"Pressure-related kick detected while drilling Limestone at 2481 m; annular pressure rise recorded, mud weight raised after control.",26.5,Major non-productive time; section objectives affected and specialist intervention required.
E0213,W051,2927,Limestone,Kick,Critical,"Unexpected formation influx in Limestone at 2927 m; flow check positive, BOP closed and circulation of kill mud carried out.",28.7,Major non-productive time; section objectives affected and specialist intervention required.
E0214,W051,2947,Limestone,Kick,Critical,"Influx indication at 2947 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",32.2,Major non-productive time; section objectives affected and specialist intervention required.
E0215,W051,2801,Shale,Wellbore Instability,Medium,Sloughing Shale at 2801 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,11.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0216,W051,3004,Limestone,Cementing Issue,Low,Poor cement bond opposite Limestone at 3004 m; channelling indicated on the bond log and a remedial squeeze planned.,3.5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0217,W051,935,Sandstone,Mud Loss,Critical,Seepage-to-partial mud losses observed while drilling Sandstone at 935 m; mud weight trimmed and losses monitored.,18.5,Major non-productive time; section objectives affected and specialist intervention required.
E0218,W051,2693,Shale,Wellbore Instability,Medium,Borehole collapse tendency in Shale at 2693 m; repeated back-reaming needed to maintain hole condition.,8.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0219,W051,1320,Sandstone,Mud Loss,Medium,Partial loss of drilling fluid recorded at 1320 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,5.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0220,W051,2289,Shale,Casing Issue,Critical,Casing integrity concern noted opposite Shale at 2289 m; pressure test anomaly investigated before proceeding.,58.1,Major non-productive time; section objectives affected and specialist intervention required.
E0221,W052,1760,Shale,Kick,Low,"Pressure-related kick detected while drilling Shale at 1760 m; annular pressure rise recorded, mud weight raised after control.",4.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0222,W052,1618,Sandstone,Mud Loss,Low,Seepage-to-partial mud losses observed while drilling Sandstone at 1618 m; mud weight trimmed and losses monitored.,2.9,Minor non-productive time; operations resumed after routine parameter adjustment.
E0223,W052,1291,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 1291 m; mud weight trimmed and losses monitored.,5.3,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0224,W052,1022,Sandstone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Sandstone at 1022 m; mud weight trimmed and losses monitored.,6.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0225,W052,464,Claystone,Wellbore Instability,Critical,Borehole collapse tendency in Claystone at 464 m; repeated back-reaming needed to maintain hole condition.,42.4,Major non-productive time; section objectives affected and specialist intervention required.
E0226,W052,1628,Sandstone,Kick,Medium,"Unexpected formation influx in Sandstone at 1628 m; flow check positive, BOP closed and circulation of kill mud carried out.",6.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0227,W053,179,Claystone,Wellbore Instability,Medium,Borehole collapse tendency in Claystone at 179 m; repeated back-reaming needed to maintain hole condition.,8.6,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0228,W053,2838,Limestone,Kick,Low,"Pressure-related kick detected while drilling Limestone at 2838 m; annular pressure rise recorded, mud weight raised after control.",3.4,Minor non-productive time; operations resumed after routine parameter adjustment.
E0229,W053,679,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 679 m; mud weight trimmed and losses monitored.,11.8,Significant non-productive time; remedial operations and additional materials required.
E0230,W053,2440,Limestone,Kick,High,"Pressure-related kick detected while drilling Limestone at 2440 m; annular pressure rise recorded, mud weight raised after control.",19.9,Significant non-productive time; remedial operations and additional materials required.
E0231,W055,3872,Limestone,Cementing Issue,Low,Poor cement bond opposite Limestone at 3872 m; channelling indicated on the bond log and a remedial squeeze planned.,4.4,Minor non-productive time; operations resumed after routine parameter adjustment.
E0232,W055,1922,Sandstone,Mud Loss,Critical,Partial loss of drilling fluid recorded at 1922 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,25.1,Major non-productive time; section objectives affected and specialist intervention required.
E0233,W055,2549,Shale,Mud Loss,High,Partial loss of drilling fluid recorded at 2549 m in the Shale interval; returns reduced and LCM pumped to regain circulation.,11.2,Significant non-productive time; remedial operations and additional materials required.
E0234,W055,2964,Limestone,Kick,Medium,"Influx indication at 2964 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",7.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0235,W056,703,Sandstone,Wellbore Instability,Medium,Borehole collapse tendency in Sandstone at 703 m; repeated back-reaming needed to maintain hole condition.,10,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0236,W057,2143,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 2143 m in Shale; hole cleaning improved and pipe recovered.,34.6,Significant non-productive time; remedial operations and additional materials required.
E0237,W057,1765,Shale,Wellbore Instability,High,Hole instability and cavings from the Shale interval at 1765 m; tight hole on connections and reaming required.,21.1,Significant non-productive time; remedial operations and additional materials required.
E0238,W058,1870,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 1870 m in Shale; hole cleaning improved and pipe recovered.,26.1,Significant non-productive time; remedial operations and additional materials required.
E0239,W058,2472,Shale,Stuck Pipe,Critical,Drill string became stuck at 2472 m within the Shale section; overpull observed and jarring / working of pipe required.,44.2,Major non-productive time; section objectives affected and specialist intervention required.
E0240,W059,2241,Shale,Stuck Pipe,Low,Drill string became stuck at 2241 m within the Shale section; overpull observed and jarring / working of pipe required.,7,Minor non-productive time; operations resumed after routine parameter adjustment.
E0241,W059,2725,Limestone,Casing Issue,Medium,Casing running difficulty at 2725 m in the Limestone section; casing hung up and required reciprocation to reach depth.,15.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0242,W059,1389,Sandstone,Kick,Medium,"Unexpected formation influx in Sandstone at 1389 m; flow check positive, BOP closed and circulation of kill mud carried out.",7.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0243,W059,1744,Sandstone,Mud Loss,Low,Partial loss of drilling fluid recorded at 1744 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,2.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0244,W059,3091,Limestone,Stuck Pipe,Medium,Drill string became stuck at 3091 m within the Limestone section; overpull observed and jarring / working of pipe required.,14,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0245,W059,756,Sandstone,Mud Loss,Medium,Partial loss of drilling fluid recorded at 756 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,7.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0246,W060,2457,Shale,Stuck Pipe,Medium,Drill string became stuck at 2457 m within the Shale section; overpull observed and jarring / working of pipe required.,12.3,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0247,W060,1352,Sandstone,Cementing Issue,Critical,Incomplete annular cement coverage near 1352 m in Sandstone; remedial cementing operation carried out.,29.9,Major non-productive time; section objectives affected and specialist intervention required.
E0248,W060,86,Sandstone,Stuck Pipe,Medium,Drill string became stuck at 86 m within the Sandstone section; overpull observed and jarring / working of pipe required.,10.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0249,W060,324,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 324 m; mud weight trimmed and losses monitored.,13,Significant non-productive time; remedial operations and additional materials required.
E0250,W060,1857,Shale,Stuck Pipe,Medium,"Pack-off and stuck pipe in Shale at 1857 m; rotation lost, string freed after jarring and lubricant spotting.",13,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0251,W061,2362,Limestone,Kick,Medium,"Unexpected formation influx in Limestone at 2362 m; flow check positive, BOP closed and circulation of kill mud carried out.",6.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0252,W061,575,Sandstone,Cementing Issue,High,Incomplete annular cement coverage near 575 m in Sandstone; remedial cementing operation carried out.,18.6,Significant non-productive time; remedial operations and additional materials required.
E0253,W061,1933,Shale,Wellbore Instability,Low,Borehole collapse tendency in Shale at 1933 m; repeated back-reaming needed to maintain hole condition.,4.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0254,W061,2799,Limestone,Kick,Low,"Pressure-related kick detected while drilling Limestone at 2799 m; annular pressure rise recorded, mud weight raised after control.",3.5,Minor non-productive time; operations resumed after routine parameter adjustment.
E0255,W063,2352,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 2352 m in Shale; hole cleaning improved and pipe recovered.,29.5,Significant non-productive time; remedial operations and additional materials required.
E0256,W063,660,Sandstone,Wellbore Instability,High,Borehole collapse tendency in Sandstone at 660 m; repeated back-reaming needed to maintain hole condition.,24.5,Significant non-productive time; remedial operations and additional materials required.
E0257,W063,163,Claystone,Cementing Issue,Low,Cement slurry losses while cementing across Claystone at 163 m; top of cement lower than designed.,4.3,Minor non-productive time; operations resumed after routine parameter adjustment.
E0258,W063,1618,Sandstone,Mud Loss,Critical,Partial loss of drilling fluid recorded at 1618 m in the Sandstone interval; returns reduced and LCM pumped to regain circulation.,24.1,Major non-productive time; section objectives affected and specialist intervention required.
E0259,W063,2534,Shale,Wellbore Instability,Critical,Borehole collapse tendency in Shale at 2534 m; repeated back-reaming needed to maintain hole condition.,40.2,Major non-productive time; section objectives affected and specialist intervention required.
E0260,W063,2746,Limestone,Kick,Critical,"Pressure-related kick detected while drilling Limestone at 2746 m; annular pressure rise recorded, mud weight raised after control.",27.7,Major non-productive time; section objectives affected and specialist intervention required.
E0261,W063,2409,Shale,Stuck Pipe,High,Differential/mechanical sticking of the string at 2409 m in Shale; hole cleaning improved and pipe recovered.,35.2,Significant non-productive time; remedial operations and additional materials required.
E0262,W063,1584,Sandstone,Mud Loss,Low,Seepage-to-partial mud losses observed while drilling Sandstone at 1584 m; mud weight trimmed and losses monitored.,2.7,Minor non-productive time; operations resumed after routine parameter adjustment.
E0263,W064,1794,Shale,Wellbore Instability,Medium,Sloughing Shale at 1794 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,8.2,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0264,W064,1783,Shale,Stuck Pipe,Critical,Drill string became stuck at 1783 m within the Shale section; overpull observed and jarring / working of pipe required.,48.1,Major non-productive time; section objectives affected and specialist intervention required.
E0265,W064,2751,Limestone,Kick,Critical,"Influx indication at 2751 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",26.8,Major non-productive time; section objectives affected and specialist intervention required.
E0266,W065,1718,Sandstone,Casing Issue,Medium,Restricted casing passage through plastic Sandstone at 1718 m; hole conditioned and casing rerun.,14.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0267,W065,527,Claystone,Stuck Pipe,Medium,Drill string became stuck at 527 m within the Claystone section; overpull observed and jarring / working of pipe required.,11.9,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0268,W065,56,Claystone,Casing Issue,Critical,Restricted casing passage through plastic Claystone at 56 m; hole conditioned and casing rerun.,64,Major non-productive time; section objectives affected and specialist intervention required.
E0269,W065,276,Claystone,Casing Issue,High,Restricted casing passage through plastic Claystone at 276 m; hole conditioned and casing rerun.,38.1,Significant non-productive time; remedial operations and additional materials required.
E0270,W065,801,Sandstone,Cementing Issue,Critical,Incomplete annular cement coverage near 801 m in Sandstone; remedial cementing operation carried out.,36,Major non-productive time; section objectives affected and specialist intervention required.
E0271,W065,248,Claystone,Cementing Issue,Medium,Poor cement bond opposite Claystone at 248 m; channelling indicated on the bond log and a remedial squeeze planned.,10.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0272,W065,1334,Sandstone,Mud Loss,High,Loss of circulation into porous Sandstone at 1334 m; drilling paused and a lost-circulation-material pill spotted.,13.6,Significant non-productive time; remedial operations and additional materials required.
E0273,W066,532,Claystone,Cementing Issue,Medium,Poor cement bond opposite Claystone at 532 m; channelling indicated on the bond log and a remedial squeeze planned.,9.1,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0274,W066,3074,Limestone,Mud Loss,Low,Loss of circulation into porous Limestone at 3074 m; drilling paused and a lost-circulation-material pill spotted.,3.2,Minor non-productive time; operations resumed after routine parameter adjustment.
E0275,W066,869,Sandstone,Casing Issue,High,Casing running difficulty at 869 m in the Sandstone section; casing hung up and required reciprocation to reach depth.,27.6,Significant non-productive time; remedial operations and additional materials required.
E0276,W067,128,Claystone,Cementing Issue,Medium,Incomplete annular cement coverage near 128 m in Claystone; remedial cementing operation carried out.,9.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0277,W067,781,Sandstone,Mud Loss,High,Seepage-to-partial mud losses observed while drilling Sandstone at 781 m; mud weight trimmed and losses monitored.,13.4,Significant non-productive time; remedial operations and additional materials required.
E0278,W067,2001,Shale,Kick,High,"Unexpected formation influx in Shale at 2001 m; flow check positive, BOP closed and circulation of kill mud carried out.",20.9,Significant non-productive time; remedial operations and additional materials required.
E0279,W067,726,Sandstone,Mud Loss,Critical,Seepage-to-partial mud losses observed while drilling Sandstone at 726 m; mud weight trimmed and losses monitored.,26.1,Major non-productive time; section objectives affected and specialist intervention required.
E0280,W067,197,Claystone,Cementing Issue,Medium,Incomplete annular cement coverage near 197 m in Claystone; remedial cementing operation carried out.,7.7,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0281,W067,1589,Sandstone,Mud Loss,Medium,Loss of circulation into porous Sandstone at 1589 m; drilling paused and a lost-circulation-material pill spotted.,5.4,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0282,W069,264,Shale,Casing Issue,Medium,Restricted casing passage through plastic Shale at 264 m; hole conditioned and casing rerun.,13.8,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0283,W069,1837,Limestone,Mud Loss,Medium,Seepage-to-partial mud losses observed while drilling Limestone at 1837 m; mud weight trimmed and losses monitored.,6.3,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0284,W069,1021,Shale,Wellbore Instability,Medium,Sloughing Shale at 1021 m produced excess cuttings volume and hole enlargement; mud properties adjusted.,9.5,Partial non-productive time; drilling suspended while the well was treated and conditioned.
E0285,W069,2363,Limestone,Kick,Low,"Influx indication at 2363 m in Limestone; pit gain and flow observed, well shut in and killed using the driller's method.",4.2,Minor non-productive time; operations resumed after routine parameter adjustment.
